[meta]
name=Basic Tutorial
author=Claude

[level:main]
width=11;height=11
x=0;y=0;tile=wall
x=1;y=0;tile=wall
x=2;y=0;tile=wall
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=5;y=0;tile=floor
x=6;y=0;tile=wall
x=7;y=0;tile=wall
x=8;y=0;tile=wall
x=9;y=0;tile=wall
x=10;y=0;tile=wall
x=0;y=1;tile=wall
x=10;y=1;tile=wall
x=0;y=2;tile=wall
x=4;y=2;entities=crate:id=crate_7793
x=7;y=2;tile=goal
x=10;y=2;tile=wall
x=0;y=3;tile=wall
x=2;y=3;entities=player:id=player
x=4;y=3;entities=crate:id=crate1
x=7;y=3;tile=goal
x=10;y=3;tile=wall
x=0;y=4;tile=floor
x=2;y=4;entities=nested:id=nested_7763:ref=main
x=4;y=4;entities=crate:id=crate2
x=7;y=4;tile=goal
x=10;y=4;tile=floor
x=0;y=5;tile=wall
x=10;y=5;tile=wall
x=0;y=6;tile=wall
x=10;y=6;tile=wall
x=0;y=7;tile=wall
x=1;y=7;tile=wall
x=2;y=7;tile=wall
x=3;y=7;tile=wall
x=4;y=7;tile=wall
x=5;y=7;tile=floor
x=6;y=7;tile=wall
x=7;y=7;tile=wall
x=8;y=7;tile=wall
x=9;y=7;tile=wall
x=10;y=7;tile=wall
x=0;y=8;tile=wall
x=5;y=8;tile=floor
x=10;y=8;tile=wall
x=0;y=9;tile=wall
x=5;y=9;tile=floor
x=10;y=9;tile=wall
x=0;y=10;tile=wall
x=1;y=10;tile=wall
x=2;y=10;tile=wall
x=3;y=10;tile=wall
x=4;y=10;tile=wall
x=5;y=10;tile=floor
x=6;y=10;tile=wall
x=7;y=10;tile=wall
x=8;y=10;tile=wall
x=9;y=10;tile=wall
x=10;y=10;tile=wall

[meta]
name=Simple Puzzle
author=Claude

[level:main]
width=8;height=12
x=0;y=0;tile=wall
x=1;y=0;tile=wall
x=2;y=0;tile=wall
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=5;y=0;tile=wall
x=6;y=0;tile=wall
x=7;y=0;tile=wall
x=0;y=1;tile=wall
x=7;y=1;tile=wall
x=0;y=2;tile=wall
x=2;y=2;entities=player:id=player
x=7;y=2;tile=wall
x=0;y=3;tile=wall
x=3;y=3;entities=crate:id=crate1
x=7;y=3;tile=wall
x=0;y=4;tile=wall
x=1;y=4;entities=crate:id=crate_5386
x=5;y=4;tile=goal
x=7;y=4;tile=wall
x=0;y=5;tile=wall
x=2;y=5;entities=crate:id=crate_7763
x=7;y=5;tile=wall
x=0;y=6;tile=wall
x=7;y=6;tile=wall
x=0;y=7;tile=wall
x=2;y=7;tile=wall
x=3;y=7;tile=wall
x=4;y=7;tile=wall
x=5;y=7;tile=wall
x=6;y=7;tile=wall
x=7;y=7;tile=wall

[meta]
name=Recursive Puzzle
author=Claude

[level:main]
width=12;height=12
x=0;y=0;tile=wall
